Code,Description
10-63,Subject positive / Prepare to copy
10-7,Out of service (completely)
10-33,"Emergency, all units stand by"
10-45,Condition of patient
10-35,Confidential information or open window
Code 77,Possible ambush - use caution
Code 40,Serious case (IV started)
10-99,Cardiac arrest / Officer held hostage
Code 4,No further assistance required
10-5,Relay message to [person]
99,Reckless operation
10-23,Arrived at scene / Stand by until channel clears
10-100,Misdemeanor warrant / Out using restroom
10-17,Pick up papers / En route
10-50,Officer welfare check / under influence of drugs
10-11,Identify frequency / Dispatching too fast
10-8,In service
902,Accident
21,Complaint
10-32,Person with gun
10-56,Intoxicated pedestrian / Suicide
10-13,Advise weather and road conditions
10-42,End duty
10-60,Squad in vicinity
10-55,Intoxicated driver
10-15,Prisoner in custody / Message delivered
10-200,"Narcotics, drugs involved"
10-90,Alarm going off / Bank alarm
10-46,Motorist assist
10-80,Pursuit in progress
10-00,"Officer down, all patrols respond"
10-0,Use caution
10-1,You are being received poorly / Cannot copy
10-2,You are being received clearly / Signal is strong
10-3,Stop transmitting
10-4,Affirmative / Understood / Message received
10-5,Relay message to [person]
10-6,Busy / Out at call
10-7,Out of service (completely)
10-7b,Out of service (personal)
10-7c,Out of service (court)
10-7od,Out of service (off duty)
10-8,In service
10-8ot,In service (over time)
10-9,Repeat last message
10-10,Negative / Fight in progress
10-11,Identify frequency / Dispatching too fast
10-12,Standby / Visitor(s) present
10-13,Advise weather and road conditions
10-14,Convoy or escort detail / Suspicious person
10-15,Prisoner in custody / Message delivered
10-15m,Prisoner in custody (mental case)
10-16,Pick up prisoner / Reply to message
10-17,Pick up papers / En route
10-18,Urgent / Complete present assignment ASAP
10-19,Return to station or location
10-20,Your location
10-21,Call by telephone
10-21a,Advise home I will return at [ETA]
10-21b,Call your home
10-22,Disregard / Cancel last message
10-23,Arrived at scene / Stand by until channel clears
10-24,Emergency backup / Emergency at station
10-25,Report to [person] / Do you have contact with [person]
10-26,Detaining suspect / Check auto registration
10-27,Request drivers license check
10-28,Check registration on vehicle
10-29,Request arrests/warrants check
10-29a,"Check wants, subject [PIN]"
10-29c,"Check complete, subject [NCIC]"
10-29f,"Subject wanted, felony"
10-29h,Hazard potential from subject
10-29m,"Subject wanted, misdemeanor"
10-29r,"Check wants and record, subject [PIN, CJIC]"
10-29v,Vehicle wanted
10-30,Does not conform to rules or regulations
10-31,Crime in progress / in pursuit
10-32,Person with gun
10-33,"Emergency, all units stand by"
10-34,Open door or window / Riot
10-35,Confidential information or open window
10-36,Provide current time of day
10-37,Identify yourself / suspicious vehicle
10-38,Traffic stop
10-39,Run with lights and siren
10-40,Run silent (no lights or siren)
10-41,Begin duty
10-42,End duty
10-43,Information
10-44,Permission to leave patrol
10-45,Condition of patient
10-45a,Condition of patient - Good
10-45b,Condition of patient - Serious
10-45c,Condition of patient - Critical
10-45d,Condition of patient - Dead
10-46,Motorist assist
10-47,Emergency road repair
10-48,Traffic control
10-49,Traffic light out
10-50,Officer welfare check / under influence of drugs
10-51,Tow truck needed / under influence of alcohol
10-52,Ambulance needed
10-53,Road blocked / Man down
10-54,Possible fatality
10-54d,Possible dead body
10-55,Intoxicated driver
10-55d,Send coroner
10-56,Intoxicated pedestrian / Suicide
10-56a,Suicide attempt
10-57,Hit and run accident / Missing person
10-58,Direct Traffic
10-59,Escort or convoy / Security check
10-60,Squad in vicinity
10-61,Personnel in vicinity / Not wanted
10-62,Subject possibly wanted
10-63,Subject positive / Prepare to copy
10-64,Subject wanted / Found property
10-65,Net message assignment
10-66,Check officer's well-being
10-67,Clear for next message
10-68,Dispatch message
10-69,Clear to copy transmission?
10-70,Fire alarm / Prowler
10-71,Advise nature of fire / Shooting
10-72,Report progress of fire / Gun involved / D.O.A.
10-73,How do you copy / Smoke report
10-74,Negative / Theft
10-75,Severe weather statement
10-76,En route to location
10-77,Estimated Time of Arrival
10-78,Need assistance / Send ambulance
10-79,Notify coroner / Bomb threat
10-80,Pursuit in progress
10-80a,Assist radio dispatcher
10-81,Traffic stop initiated / Breathalyzer request
10-82,Reserve lodging
10-83,Work/school crossing detail
10-84,Advise ETA
10-85,Arrival delay due to [cause]
10-86,Officer on-duty
10-87,Give call letters of your station
10-88,Advise phone number of officer
10-89,Bomb threat
10-90,Alarm going off / Bank alarm
10-91,Pick up subject / Prepare for inspection / Animal
10-91a,Animal - stray
10-91b,Animal - noisy
10-91c,Animal - injured
10-91d,Animal - dead
10-91e,Animal - bite
10-91g,Animal - pickup
10-91j,Animal - pickup collect
10-91l,Animal - leash law violation
10-91v,Animal - vicious
10-92,Subject in custody / Parking violation
10-93,Blockage
10-94,Street racing
10-95,Officer's residence
10-96,Mental patient / Detain suspect
10-97,Arrived at scene / Record information
10-98,Assignment complete / Prison break
10-99,Cardiac arrest / Officer held hostage
10-100,Misdemeanor warrant / Out using restroom
10-101,Ending security check
10-102,Cruelty to animals
